Company,Stage,Funding / Backing,HQ,Size,What They Do,AI Focus,Recent (2025-26),Website,# Roles
Adobe,public (NASDAQ: ADBE),Public; FY2025 revenue ~$22-23B,"San Jose, CA (NYC office for these roles)","~30,000 employees","Creative, document, and experience-cloud software leader","Firefly generative AI, Acrobat AI Assistant, AI in Creative Cloud and Experience Cloud; heavy push into agentic and forward-deployed AI",2025-2026: expanded Firefly models and Acrobat/Express AI; growing 'forward-deployed' AI PM org to embed AI with enterprise customers,https://www.adobe.com,3
Adonis,Growth startup (Series C),"$40M Series C (Mar 2026, Quadrille Capital lead; General Catalyst, Point72 Ventures, Bling). ~$95M total raised",New York City,~150-250 (rapidly hiring),"AI orchestration platform for healthcare revenue cycle management (RCM) - automating claims, eligibility, denials","'Intelligence, AI Agents, and Orchestration' platform; AI agents automating RCM workflows","2026 $40M Series C; 4x revenue growth in 2025, net retention >130%",adonis.io,1
"Aledade, Inc.","growth (late-stage private, last valued ~$3.5B+)","Backed by Venrock, ARCH, OMERS, Lightspeed, Avidity; secured $500M credit facility (Dec 2024); hit $1B revenue and profitability in 2025","Bethesda, MD (remote-friendly)","~1,500+ employees",Physician-led value-based care company that helps independent primary-care practices succeed in ACOs and value-based contracts.,"AI/data platform for risk stratification, care-gap closure and population-health analytics across 3,000+ practices and 3M+ patients.",Added 700+ practices for 2026; $1B revenue and profitability in 2025; $500M credit facility to fund expansion.,https://aledade.com,1
Alvarez & Marsal,Large private professional-services firm (mature),"Private, partner-owned; ~$3.3B annual revenue","New York, NY","11,500+ across 90+ offices","Global management consulting — turnaround/restructuring, performance improvement, transformation, disputes","~20% of revenue AI-driven, targeting 50% by 2028; global AI board; hiring up to 200 AI-skilled staff",Major AI capability expansion and global AI board announced (2026),https://www.alvarezandmarsal.com,1
Amazon,Public (NASDAQ: AMZN),Public; >$600B annual revenue.,"Seattle, WA (NYC ad-tech & tech hubs)",~1.5M+ employees,"E-commerce, cloud (AWS), advertising, and devices conglomerate.","Bedrock/Nova foundation models, advertising AI (measurement, MMM), agentic AI, and identity/authorization infra for AI agents.",Expanding Ads AI infrastructure and agent identity/authorization work (2025-2026); broad GenAI rollout across Ads and AWS.,https://www.amazon.com,3
Amazon Web Services (AWS),"public (part of Amazon, NASDAQ: AMZN)",public; AWS is the leading cloud platform (~$100B+ annualized revenue),"Seattle, WA (NYC offices)",Amazon ~1.5M+ employees; AWS tens of thousands,"World's largest cloud computing platform (compute, storage, databases, AI/ML, security).","Bedrock (foundation models), Amazon Q, SageMaker, AI agents, and AI across the platform; AWS Support & Operations tooling.","Continued GenAI buildout (Bedrock agents, Amazon Q) and operational/support AI through 2025-2026.",https://aws.amazon.com,1
Appian,Public (NASDAQ: APPN),"Public; FY2025 revenue $726.9M (+18% YoY), cloud subs $437.4M","McLean, VA","~2,300+",AI-powered low-code process automation/orchestration platform for enterprises,"Agent Studio (build/govern AI agents in workflows), AI Skills, DocCenter (intelligent document processing)",2025: launched Agent Studio + AI Document Center; $1M+ customers grew 50%; Gartner MQ leader,appian.com,1
Applecart,growth (private equity-backed),"Total ~$118M over 5 rounds; $100M Series C from Blackstone Growth (Dec 2025); earlier backers include Endeavor, Henry Kravis, Bain Future Back Ventures","New York, NY",~150-250 employees,Relationship-based marketing/ad-tech company that maps tens of billions of social relationships to target decision-makers and their influential networks.,"Proprietary social-graph data science and measurement; relationship mapping and decision-maker marketing across political, corporate and nonprofit sectors.",$100M Series C from Blackstone (Dec 2025) to scale its marketing-technology platform.,https://applecart.co,1
Asana,Public (NYSE: ASAN),Public (IPO 2020 direct listing),"San Francisco, CA","~1,767",Cloud work-management platform built on the proprietary 'Work Graph',"AI Studio (no-code AI workflow builder), AI Teammates (collaborative agents using Work Graph context); acquired Stack AI ($75M)",Acquired Stack AI (first acquisition in 18 yrs) and launched AI Teammates (2025),https://asana.com,1
Bain & Company,private (global management consulting partnership),private; top-tier strategy consulting firm,"Boston, MA (NYC office)","~19,000+ employees","Global management consultancy advising on strategy, operations, M&A and transformation.",Bain's AI/innovation practice; building internal & client-facing AI products and tools (Bain AI alliance with OpenAI).,Expanded GenAI services and internal product/innovation capabilities through 2025.,https://www.bain.com,1
BlackRock,Public (NYSE: BLK),Public; world's largest asset manager (~$11-12T AUM),New York City,"~21,000-23,000",Investment management; Aladdin is its end-to-end portfolio/risk software licensed to institutions,Aladdin Copilot (GenAI); Aladdin AI team; Aladdin Studio developer tooling/APIs,Oct 2025: Aladdin Wealth AI 'Auto Commentary' (Morgan Stanley first client); Snowflake partnership,blackrock.com/aladdin,3
Bloomberg,"Private (large, profitable; founder-controlled)",Privately held by Bloomberg L.P.; ~$12B+ annual revenue. Not VC-funded.,"New York, NY","~21,000+ employees","Financial data, news, and analytics; flagship Bloomberg Terminal for markets professionals.","BloombergGPT/finance LLMs, GenAI developer platform, AI-ready data, document & content extraction across the Terminal and enterprise data products.",Building out a GenAI Developer Platform and 'AI-Ready Data' initiatives in the CTO Office (2025-2026) to embed LLMs across Terminal workflows.,https://www.bloomberg.com,8
Bluehost,private (brand of Newfold Digital),Owned by Newfold Digital (PE-backed by Clearlake & Siris); not separately funded,"Remote / Newfold (HQ Jacksonville, FL & Burlington, MA)",Newfold serves ~7M customers; thousands of employees across brands,Web hosting & domain platform for SMBs (part of Newfold's brand portfolio),"AI-powered SaaS for SMBs: WonderSuite AI website builder, AI site optimization; building an AI-driven platform on Oracle Cloud",2025: migrated to Oracle Cloud Infrastructure (4-5x response improvements) and appointed new CTO/CMO/CFO to accelerate AI-powered SaaS,https://www.bluehost.com,1
BNY,"Public (NYSE: BK), America's oldest bank",Public; investing billions in tech/AI,"New York, NY","~50,000+","Global custody bank and financial-infrastructure provider (asset servicing, treasury, payments, securities)","'Eliza' internal agent-building platform (125+ live use cases, 134 'digital employees'); OpenAI and Google Cloud (Gemini Enterprise) partnerships; 20,000 employees building agents",Gemini Enterprise integration (Dec 2025) and Eliza 2.0 / 'digital employees' scale-up (2025-26),https://www.bny.com,5
Brex,"Growth (late-stage; ~$12.3B valuation, pending acquisition by Capital One)","Raised $1.5B+ equity; last priced at ~$12.3B (2022). Agreed to be acquired by Capital One for ~$5.15B (2026). Investors: Greenoaks, DST, Kleiner Perkins, Ribbit, YC.","New York, NY (and SF)","~1,200 employees","Modern finance platform: corporate cards, business accounts, and AI-powered spend management for startups and enterprises.","AI-powered spend management, agentic finance workflows, automated expense/compliance, and embedded AI assistants.",Announced ~$5.15B acquisition by Capital One (2026); became operating-cash-flow positive (late 2025) and expanded into the EU/UK.,https://www.brex.com,1
Bubble,Growth startup (Series A; mature/profitable-leaning),"~$106M total; $100M Series A (2021, Insight Partners)",New York City (remote-friendly),~150-250,No-code/AI app builder for web & mobile - lets non-engineers build full-stack apps,AI Agent dev assistant (builds pages in app's design system); native mobile; GenAI app-generation,Nov 2025: major AI Agent enhancements (generates new pages in established style); native mobile + 50% faster DB,bubble.io,1
Burtch Works,private (executive recruiting / staffing firm),Private; recruiting firm (not the hiring employer),"Chicago, IL (national)",~50-100 employees,"Specialized recruiting firm placing data science, analytics, AI/ML and quant talent; this posting is on behalf of a client company.","Recruiting for AI/ML, data science and analytics roles; the actual product role belongs to an unnamed client.",Continues to publish AI/data-science salary and market reports (2025).,https://burtchworks.com,1
Capital One,Public (NYSE: COF),Public; ~$40B+ annual revenue. Acquired Discover (2025) and agreed to acquire Brex (2026).,"McLean, VA (large NYC tech presence)","~50,000+ employees",Diversified bank and credit-card issuer with a large in-house technology org.,"Enterprise AI/ML platforms, agentic AI for customer assistance, developer productivity, and data products; cloud-native ML at scale.",Completed ~$35B Discover acquisition (2025) and announced ~$5.15B Brex acquisition (2026); heavy investment in enterprise/agentic AI.,https://www.capitalone.com,5
Cedar,Late-stage private,"$200M Series D (Mar 2021, Tiger Global-led); ~$350M+ total raised; ~$3.2B valuation (2021)","New York, NY",~819,Patient financial engagement / billing & payments platform for hospitals and health systems,"AI/ML for personalized patient billing engagement, payment optimization and resolution; engages 300k+ patients/day",Continued leadership in patient financial engagement; no major new round since Series D (2025-26),https://www.cedar.com,1
Circle,"Public (NYSE: CRCL, IPO June 2025)","Public; IPO raised ~$1.1B, surged ~168% on debut; 2024 revenue+reserve income ~$1.68B","New York, NY (One World Trade Center)","~1,000+",Stablecoin issuer (USDC) and full-stack platform for internet-native finance,"Programmable money / developer APIs, wallets, payment rails; emerging agentic-commerce / AI-agents-that-transact thesis",Successful NYSE IPO (June 2025) amid favorable stablecoin regulation,https://www.circle.com,3
Cockroach Labs,growth (late-stage private),"~$633M total raised; Series F $278M (Dec 2021) at $5B valuation; investors Benchmark, GV, Sequoia, Index, Tiger, Altimeter","New York, NY",~700-725 employees,"Maker of CockroachDB, a distributed cloud-native SQL database","Database infrastructure underpinning AI/agent apps; reliability, scale, and Postgres compatibility for modern (incl. AI) workloads","Oct 2025: OEM partnership with IBM to deliver CockroachDB across IBM Z, LinuxONE, Power, OpenShift, and IBM Cloud",https://www.cockroachlabs.com,2
Compass,public (NYSE: COMP),public; record 2025 revenue & adj. EBITDA; Sept 2025 agreed all-stock merger with Anywhere Real Estate,"New York, NY","~3,000+ corporate employees (largest US residential brokerage by volume)","Tech-enabled residential real estate brokerage with a custom software suite for agents (CRM, marketing, client tools).",Compass AI: voice-activated AI assistant for agents; Buyer Demand tool surfacing buyer interest from millions of saved searches.,June 2025 next-phase Compass AI (proactive voice assistant); Sept 2025 merger agreement with Anywhere Real Estate.,https://www.compass.com,3
CoreWeave,public (NASDAQ: CRWV),IPO March 2025 ($1.5B raised); ~$28B equity+debt raised in 12 months; FY2025 revenue $5.13B (+170% YoY),"Livingston, NJ","~1,450+ employees",AI hyperscaler — GPU cloud infrastructure for AI/HPC workloads,"The 'essential cloud for AI': GPU clusters, AI training/inference infra, data-center and managed services for AI labs and enterprises",2026: scaled to 43+ data centers and 850MW+ active power; aggressive financing and capacity expansion,https://www.coreweave.com,3
Cornerstone Research,private (economic consulting firm),private,"San Francisco, CA / Boston, MA (NYC office)","~1,000+ professionals across 9 offices (US, UK, EU)",Economic & financial consulting providing analysis and expert testimony for complex litigation and regulatory matters.,Applying data science/AI to litigation analytics and internal tooling; building software products to support case teams.,Feb 2026 promotions of senior professionals; continued investment in technology/data capabilities.,https://www.cornerstone.com,1
CrowdStrike,public (NASDAQ: CRWD),"Public; ~$4B+ ARR, leading cybersecurity vendor","Austin, TX (role in NYC)","~10,000+ employees","Cloud-native cybersecurity platform (Falcon) for endpoint, cloud, identity, and threat protection","Charlotte AI (agentic SOC), Falcon AI Detection & Response (AIDR) to secure the AI attack surface, ML-driven threat detection",Dec 2025: GA of Falcon AIDR to secure AI prompts/agents and Charlotte AI Detection Triage (agentic security operations),https://www.crowdstrike.com,1
D. E. Shaw Research,Private (independent research lab affiliated with David Shaw),Privately funded research lab; not VC-backed.,"New York, NY",~150-300 employees (est.),Computational biochemistry lab developing supercomputing (Anton) and ML for drug discovery and molecular simulation.,"Machine learning / deep learning for molecular dynamics, protein-ligand modeling, and drug discovery; custom ML platforms.",Continued development of Anton supercomputers and ML methods for molecular simulation; expanding ML program/product roles (2025-2026).,https://www.deshawresearch.com,1
Daloopa,Growth startup (Series C),"$47M Series C (May 2026, Brighton Park Capital; Nexus, Squarepoint). ~$84M total",New York City,~100-200,"AI-powered fundamental financial-data infrastructure for institutional investors (structures financials for ~5,000 public cos)",Data extraction/structuring AI; MCP integration to feed AI systems accurate financial data,2026 $47M Series C to scale data infra for production AI-finance workflows,daloopa.com,1
Databricks,"Growth (late-stage pre-IPO, ~$100B+ valuation)","Raised $10B+ Series J (2024-2025); valued ~$62B then ~$100B+ (2025). Investors: Thrive, a16z, DST, GIC, Wellington.","San Francisco, CA","~7,000+ employees","Data + AI platform (Lakehouse) for data engineering, analytics, and ML/AI at scale.","Mosaic AI, Agent Bricks, model training/serving, and GenAI tooling on the Lakehouse; acquired MosaicML, Tabular, and others.",Continued $100B+ valuation rounds and heavy push into agentic AI / Agent Bricks (2025-2026).,https://www.databricks.com,2
Datadog,public (NASDAQ: DDOG),public; FY2025 revenue ~$3.43B (+28% YoY),"New York, NY","~7,000-8,000 employees","Cloud-scale observability & security monitoring platform for infrastructure, applications, logs and security.","LLM/Agent Observability, AI Guard, Sensitive Data Scanner, GPU monitoring, Model Lab, AI & Data Security; observability for AI agents and LLM apps.","Q1 2026 first quarter LLM Observability materially contributes to billings; AI Agent Monitoring GA, LLM Experiments & AI Agents Console in preview.",https://www.datadoghq.com,12
dbt Labs,growth (late-stage private; merging with Fivetran),"$416M+ total over 5 rounds; ~$4.2B valuation (2022 Series D); backers a16z, Sequoia, Salesforce Ventures, GIC; surpassed $100M revenue (Feb 2025)","Philadelphia, PA (remote-first)",~600+ employees,"Maker of dbt, the standard data-transformation framework that lets analysts build, test and document data pipelines in SQL.","AI-ready data, dbt Fusion engine (Rust rewrite), developer tooling and the dbt MCP/AI integrations for analytics workflows.",Launched dbt Fusion engine (May 2025); announced all-stock merger with Fivetran (Oct 2025) to form a ~$600M-revenue data company.,https://getdbt.com,1
Decagon,Growth-stage startup (fast-scaling),"$250M Series D at $4.5B val; prior $131M Series C at $1.5B (Accel, a16z Growth); ~$481M total raised","San Francisco, CA",low hundreds (50+ in London hub),Agentic AI platform for customer support/CX — autonomous 'concierge' agents that resolve issues end to end,"Personalized, autonomous customer-support AI agents for enterprises and consumers","$250M Series D, valuation tripled to $4.5B (2025-26)",https://decagon.ai,1
Digital Asset,"Growth (late-stage, well-funded)","Raised $135M (June 2025, led by DRW & Tradeweb) and ~$355M (2026, led by a16z crypto); ~$540M+ total. Investors: Goldman Sachs, Citadel Securities, DTCC, BNP Paribas, Circle Ventures, BNY, Nasdaq.","New York, NY",~300-400 employees (est.),"Builds Canton Network, a privacy-enabled public blockchain for institutional/regulated finance, plus the Daml smart-contract language.","Limited direct AI; focus is institutional on-chain infrastructure (tokenization, settlement). Some AI in developer tooling.",Raised ~$355M (2026) led by a16z crypto at ~$2B valuation to scale Canton Network adoption with Wall Street institutions.,https://www.digitalasset.com,3
Diligent,growth (PE-backed private),"private; ~$9.8B raised/financed; backers incl. New Mountain Capital, Blue Owl, Golub, Morgan Stanley Private Credit, Ares","New York, NY","~2,000-3,000 employees; 1M+ users, 25,000+ organizations","AI-powered governance, risk & compliance (GRC) SaaS platform serving boards and enterprises.",Full-suite AI-native GRC (Diligent One); launched AI Board Member and Agentic GRC Workforce; acquired 3rdRisk for AI-native third-party risk.,2026 Elevate launch of AI Board Member & agentic GRC; Leader in 2025 Gartner GRC Magic Quadrant; 3rdRisk acquisition.,https://www.diligent.com,1
DoorDash,Public (NASDAQ: DASH),Public,San Francisco,"~31,400 (plus Dasher network)","Local-commerce/delivery marketplace expanding into grocery, retail, and in-store","AI merchant onboarding, AI menu 'smart tags', AI-built merchant websites, AI ads/personalization",Dash Forward 2025: 'Going Out' (in-store rewards + reservations in-app); new AI merchant tools,doordash.com,3
DoubleVerify,Public (NYSE: DV),Public,New York City,"~1,200-1,400","Digital ad verification/measurement - brand safety, fraud detection, viewability, ad performance","Scibids AI (ad optimization, acquired 2023); combining with Rockerbox attribution data",March 2025: closed ~$85M acquisition of Rockerbox (marketing attribution/MTA/MMM),doubleverify.com,2
Dow Jones,"public (subsidiary of News Corp, NASDAQ: NWSA)","Part of News Corp (public); Dow Jones at record revenue, targeting $1B EBITDA in 5 yrs","New York, NY","~8,000+ employees","Business news & data publisher (WSJ, Barron's, Factiva, Dow Jones Pro)","AI content-licensing marketplace (Factiva, ~5,000 publishers), $250M OpenAI deal, AI as 'accelerant' for products and subscriptions","2025-2026: digital subs surpassed 6M; expanded AI licensing deals (OpenAI, Meta) and AI-driven products",https://www.dowjones.com,1
Duolingo,public (NASDAQ: DUOL),Public; ~$15B+ market cap range,"Pittsburgh, PA (NYC office)","~1,000+ employees",Mobile-first language-learning app with gamified courses and a large freemium subscriber base.,"GPT-powered features (Duolingo Max, Video Call/Lily AI tutor), AI-generated content, 'AI-first' company strategy.",2025 'AI-first' company-wide shift; heavy expansion of Duolingo Max GenAI features and AI-generated course content.,https://duolingo.com,2
ECI,Private (PE-owned vertical SaaS),PE-owned (Leonard Green & Partners majority since 2020; Apax minority; new LBO with DryPowder in 2026). Not VC-funded.,"Fort Worth, TX (note: some 'ECI' postings may also refer to ECI/East Coast firms — verify)","~3,000+ employees","Vertical ERP and business-management software for SMBs in manufacturing, distribution, construction, and field services.","Embedding AI/automation into vertical ERP workflows (e.g., quoting, e-commerce, business intelligence).",New buyout/LBO with DryPowder (2026); continued cloud + AI feature investment across vertical ERP suite.,https://www.ecisolutions.com,1
eClerx,Public (NSE/BSE India: ECLERX),Public; revenue ~$415M (FY Mar 2025),"Mumbai, India (US/UK/EU offices)","19,000+","Business process management, automation & analytics ('productized services') for Fortune 2000",AI consulting + execution; among first globally with ISO 42001 responsible-AI certification,2025: ISO 42001 AI-governance certification; named in Forrester AI Consulting Services Landscape Q3 2025,eclerx.com,1
EDO,growth (private equity-backed),"~$92M+ disclosed; Series A led by Breyer Capital (2018), ~$48M growth from Shamrock Capital (2022), reported $80M equity round","New York, NY (Los Angeles roots)",~150-250 employees,"TV outcomes/measurement company providing convergent TV ad measurement, competitive ad intelligence and creative optimization for linear and streaming.","Data, measurement and analytics on TV ad engagement; AI partnerships (e.g. Chalice AI) and audience/outcome optimization.",2025 deals with TelevisaUnivision and Chalice AI to boost regional/streaming TV ad outcomes.,https://edo.com,1
EliseAI,Growth-stage startup (unicorn),"$250M Series E at $2.2B val (Aug 2025, a16z-led; Bessemer, Sapphire, Navitas); ~$383-392M total raised","New York, NY",~599 (hiring aggressively),"Vertical AI automation platform for housing/property management and healthcare — conversational AI for leasing, resident and patient comms",Domain-specific conversational AI agents automating operations across multifamily housing and healthcare,$250M Series E at $2.2B; expansion into healthcare (2025),https://eliseai.com,1
Elite Technology,growth (PE-backed private),private; acquired by Francisco Partners (announced Aug 2025) from TPG/Thomson Reuters,"New York, NY (US)","~1,000+ employees (serves ~2,000 law firms, 75% of Am Law 100)","AI financial-operations platform for law firms (billing, practice/financial management; flagship 3E).",Embedded/native AI across financial operations; cloud-native platform with AI capabilities and native payments.,Aug 2025 acquisition by Francisco Partners; cloud + AI adoption push in top law firms.,https://www.elite.com,1
Ernesta Inc.,growth (early-stage startup),"~$45M total; Series A $25M (2022, Addition), Series B $20M (Mar 2026, Addition/True Ventures)","New York, NY",~50-150 employees (estimate),Direct-to-consumer custom-sized rug company (founded by Peloton co-founders),"Limited public AI focus; tech-forward DTC commerce platform, configurator, and digital home-design tools",Mar 2026: raised $20M Series B to expand retail footprint and technology platform; now largest U.S. custom-rug retailer,https://www.ernesta.com,1
exacare ai,Startup (Series A),"Raised $30M Series A (Oct 2025), led by Insight Partners with Foundation Capital, Bienville Capital. ~$30M+ total.","New York, NY (est.)",~50-100 employees (est.),AI platform for post-acute care (skilled nursing & home care) automating admissions and operations with AI agents.,"AI agents for admissions triage — ingesting unstructured referral packets, extracting clinical data, and matching to facility criteria. Document AI at the core.","Closed $30M Series A (Oct 2025) led by Insight Partners; powers 1,500+ facilities; launching a suite of AI agents.",https://www.exacare.com,1
Executive Talent Solutions,Staffing/recruiting intermediary (NOT the hiring employer),N/A - recruiting boutique; actual employer is an undisclosed fintech client,N/A (multiple firms use this name - verify which one),Recruiting firm (small),Executive search / recruiting firm placing candidates at client companies,N/A (underlying client role is fintech product),N/A,Varies - verify which firm,1
Experian,public (LSE: EXPN),Public; global credit/data company,"Dublin, Ireland / Costa Mesa, CA (US)","~22,000+ employees","Global information-services and credit-bureau company providing credit data, identity, fraud and marketing/ad-tech solutions.","Identity graphs and AdTech identity resolution, fraud/identity ML, Ascend analytics and GenAI-assisted decisioning.",2025 continued investment in identity-graph and privacy-safe AdTech solutions amid cookie deprecation shifts.,https://experian.com,1
FactSet,public (NYSE: FDS),Public; FY2025 revenue ~$2.3B,"Norwalk, CT","~11,200 employees","Financial data, analytics, and workflow software for investment professionals","AI-powered solutions embedded in investment workflows; conversational/generative AI over financial data, AI data solutions and copilots",2025-2026: expanding AI-powered data products and generative-AI assistants across the platform,https://www.factset.com,2
Faire,Late-stage private (IPO warm-up),"$100M Series I (Nov 2025) + $5.2B tender (WCM, Baillie Gifford); ~$1.7B total raised; $5.2B valuation","San Francisco, CA","~1,532",Online wholesale B2B marketplace connecting independent retailers with brands/makers,"AI for discovery, recommendations, merchandising and logistics across the marketplace",$5.2B tender (IPO warm-up) and $100M Series I (Nov 2025),https://www.faire.com,1
FanDuel,"public (subsidiary of Flutter Entertainment, NYSE: FLUT)",Part of Flutter (public); FanDuel is the U.S. market-leading sportsbook,"New York, NY","~4,000+ employees (FanDuel U.S.)",#1 U.S. online sports betting & iGaming operator,"ML for pricing/odds, personalization, search & discovery, responsible-gaming models, and data products powering the betting experience","Dec 2025: launched FanDuel Predicts (prediction-markets app) with CME Group, expanding into 18 non-betting states",https://www.fanduel.com,4
